"term","total","prob"
"comprise",117,2.15615416732655e-05
"comprised",247,4.5518810199116e-05
"comprises",98,1.80600947348719e-05
"comprising",122,2.24829750781059e-05
"compromise",672,0.00012384064961055
"compromised",253,4.66245302849245e-05
"compromises",100,1.84286680968081e-05
"compromising",123,2.2667261759074e-05
"comps",93,1.71386613300315e-05
"compton",107,1.97186748635847e-05
"comptroller",47,8.66147400549981e-06
"compulsion",99,1.824438141584e-05
"compulsive",142,2.61687086974675e-05
"compulsively",42,7.7400406006594e-06
"compulsory",136,2.5062988611659e-05
"computation",26,4.79145370517011e-06
"computational",45,8.29290064356364e-06
"compute",64,1.17943475819572e-05
"computed",19,3.50144693839354e-06
"computer",6700,0.00123472076248614
"computerbut",4,7.37146723872324e-07
"computerized",50,9.21433404840405e-06
"computers",1180,0.000217458283542336
"computing",335,6.17360381243071e-05
"comrade",73,1.34529277106699e-05
"comrades",184,3.39087492981269e-05
"comradeship",10,1.84286680968081e-06
"comscore",20,3.68573361936162e-06
"comstock",26,4.79145370517011e-06
"con",874,0.000161066559166103
"conan",306,5.63917243762328e-05
"conaway",18,3.31716025742546e-06
"concacaf",7,1.29000676677657e-06
"concave",17,3.13287357645738e-06
"conceal",156,2.87487222310206e-05
"concealed",210,3.8700203003297e-05
"concealer",81,1.49272211584146e-05
"concealers",13,2.39572685258505e-06
"concealing",68,1.25314943058295e-05
"concealment",22,4.05430698129778e-06
"conceals",35,6.45003383388283e-06
"concede",156,2.87487222310206e-05
"conceded",139,2.56158486545633e-05
"concedes",36,6.63432051485092e-06
"conceding",34,6.26574715291475e-06
"conceit",67,1.23472076248614e-05
"conceited",90,1.65858012871273e-05
"conceivable",88,1.62172279251911e-05
"conceivably",44,8.10861396259556e-06
"conceive",167,3.07758757216695e-05
"conceived",263,4.84673970946053e-05
"conceives",10,1.84286680968081e-06
"conceiving",27,4.97574038613819e-06
"concentrate",742,0.000136740717278316
"concentrated",312,5.74974444620413e-05
"concentrates",56,1.03200541342125e-05
"concentrating",207,3.81473429603928e-05
"concentration",586,0.000107991995047295
"concentrations",59,1.08729141771168e-05
"concentric",29,5.34431374807435e-06
"concepcin",4,7.37146723872324e-07
"concept",3177,0.000585478785435593
"conception",288,5.30745641188073e-05
"conceptions",34,6.26574715291475e-06
"concepts",775,0.000142822177750263
"conceptual",149,2.74587154642441e-05
"conceptualization",6,1.10572008580849e-06
"conceptually",28,5.16002706710627e-06
"concern",1922,0.000354199000820652
"concerned",2936,0.000541065695322286
"concerning",843,0.000155353672056092
"concerns",1781,0.000328214578804152
"concert",5250,0.000967505075082425
"concerted",73,1.34529277106699e-05
"concerto",101,1.86129547777762e-05
"concerts",812,0.000149640784946082
"concession",164,3.02230156787653e-05
"concessionaires",6,1.10572008580849e-06
"concessions",193,3.55673294268396e-05
"conch",53,9.76719409130829e-06
"conchita",4,7.37146723872324e-07
"concierge",78,1.43743611155103e-05
"concierges",6,1.10572008580849e-06
"conciliatory",10,1.84286680968081e-06
"concise",162,2.98544423168291e-05
"concisely",26,4.79145370517011e-06
"conclude",374,6.89232186820623e-05
"concluded",620,0.00011425774220021
"concludes",278,5.12316973091265e-05
"concluding",131,2.41415552068186e-05
"conclusion",1394,0.000256895633269505
"conclusions",470,8.66147400549981e-05
"conclusive",50,9.21433404840405e-06
"conclusively",36,6.63432051485092e-06
"concoct",29,5.34431374807435e-06
"concocted",57,1.05043408151806e-05
"concoction",154,2.83801488690845e-05
"concoctions",50,9.21433404840405e-06
"concord",190,3.50144693839354e-05
"concordia",66,1.21629209438933e-05
"concords",20,3.68573361936162e-06
"concourse",76,1.40057877535742e-05
"concrete",1079,0.000198845328764559
"concubine",10,1.84286680968081e-06
"concubines",7,1.29000676677657e-06
"concur",177,3.26187425313503e-05
"concurred",21,3.8700203003297e-06
"concurrent",70,1.29000676677657e-05
"concurrently",46,8.47718732453173e-06
"concussed",12,2.21144017161697e-06
"concussion",210,3.8700203003297e-05
"concussions",97,1.78758080539039e-05
"cond",20,3.68573361936162e-06
"condem",6,1.10572008580849e-06
"condemn",253,4.66245302849245e-05
"condemnation",186,3.42773226600631e-05
"condemned",342,6.30260448910837e-05
"condemning",97,1.78758080539039e-05
"condemns",87,1.6032941244223e-05
"condensation",33,6.08146047194667e-06
"condense",39,7.18718055775516e-06
"condensed",209,3.85159163223289e-05
"condenses",8,1.47429344774465e-06
"condensing",25,4.60716702420203e-06
"condescend",9,1.65858012871273e-06
"condescending",147,2.70901421023079e-05
"condescension",45,8.29290064356364e-06
"condi",20,3.68573361936162e-06
"condiments",74,1.3637214391638e-05
"condin",4,7.37146723872324e-07
"condition",2156,0.000397322084167183
"conditional",115,2.11929683113293e-05
"conditioned",248,4.57030968800841e-05
"conditioner",226,4.16487898987863e-05
"conditioners",46,8.47718732453173e-06
"conditioning",579,0.000106701988280519
"conditions",2262,0.000416856472349799
"condo",467,8.60618800120938e-05
"condoleezza",13,2.39572685258505e-06
"condolence",18,3.31716025742546e-06
"condolences",271,4.994169054235e-05
"condom",273,5.03102639042861e-05
"condominium",50,9.21433404840405e-06
"condominiums",29,5.34431374807435e-06
"condoms",298,5.49174309284881e-05
"condon",36,6.63432051485092e-06
"condone",105,1.93501015016485e-05
"condoned",23,4.23859366226586e-06
"condoning",33,6.08146047194667e-06
"condor",20,3.68573361936162e-06
"condos",113,2.08243949493932e-05
"conducive",130,2.39572685258505e-05
"conduct",950,0.000175072346919677
"conducted",729,0.000134344990425731
"conducting",311,5.73131577810732e-05
"conductivity",11,2.02715349064889e-06
"conductor",217,3.99902097700736e-05
"conductors",58,1.06886274961487e-05
"conducts",76,1.40057877535742e-05
"conduit",70,1.29000676677657e-05
"cone",489,9.01161869933916e-05
"cones",249,4.58873835610522e-05
"coney",169,3.11444490836057e-05
"conf",534,9.84090876369553e-05
"confection",38,7.00289387678708e-06
"confectioners",110,2.02715349064889e-05
"confections",37,6.818607195819e-06
"confederacy",54,9.95148077227637e-06
"confederacys",4,7.37146723872324e-07
"confederate",158,2.91172955929568e-05
"confederates",20,3.68573361936162e-06
"confederation",36,6.63432051485092e-06
"confer",59,1.08729141771168e-05
"conference",7563,0.0013937601681616
"conferences",614,0.000113152022114402
"conferencing",58,1.06886274961487e-05
"conferred",54,9.95148077227637e-06
"confers",23,4.23859366226586e-06
"confess",597,0.000110019148537944
"confessed",196,3.61201894697439e-05
"confesses",81,1.49272211584146e-05
"confessing",61,1.12414875390529e-05
"confession",654,0.000120523489353125
"confessional",81,1.49272211584146e-05
"confessionnight",54,9.95148077227637e-06
"confessions",217,3.99902097700736e-05
"confetti",153,2.81958621881164e-05
"confidant",46,8.47718732453173e-06
"confidants",5,9.21433404840405e-07
"confide",46,8.47718732453173e-06
"confided",48,8.84576068646789e-06
"confidence",2463,0.000453898095224383
"confident",1625,0.000299465856573132
"confidential",269,4.95731171804138e-05
"confidentiality",83,1.52957945203507e-05
"confidently",172,3.16973091265099e-05
"config",11,2.02715349064889e-06
"configuration",137,2.52472752926271e-05
"configurations",46,8.47718732453173e-06
"configure",47,8.66147400549981e-06
"configured",58,1.06886274961487e-05
"configuring",26,4.79145370517011e-06
"confine",45,8.29290064356364e-06
"confined",248,4.57030968800841e-05
"confinement",87,1.6032941244223e-05
"confines",161,2.9670155635861e-05
"confirm",835,0.000153879378608348
"confirmation",513,9.45390673366256e-05
"confirmations",22,4.05430698129778e-06
"confirmed",1570,0.000289330089119887
"confirming",171,3.15130224455419e-05
"confirms",385,7.09503721727112e-05
"confiscate",40,7.37146723872324e-06
"confiscated",105,1.93501015016485e-05
"confiscating",15,2.76430021452122e-06
"confiscation",24,4.42288034323394e-06
"confit",79,1.45586477964784e-05
"conflagration",23,4.23859366226586e-06
"conflate",24,4.42288034323394e-06
"conflated",14,2.58001353355313e-06
"conflating",11,2.02715349064889e-06
"conflation",6,1.10572008580849e-06
"conflict",1689,0.000311260204155089
"conflicted",178,3.28030292123184e-05
"conflicting",200,3.68573361936162e-05
"conflicts",472,8.69833134169342e-05
"confluence",69,1.27157809867976e-05
"conform",221,4.07273564939459e-05
"conformed",43,7.92432728162748e-06
"conforming",48,8.84576068646789e-06
"conformist",13,2.39572685258505e-06
"conformity",112,2.06401082684251e-05
"conforms",31,5.71288711001051e-06
"confounding",30,5.52860042904243e-06
"confront",375,6.91075053630304e-05
"confrontation",242,4.45973767942756e-05
"confrontational",60,1.10572008580849e-05
"confrontations",39,7.18718055775516e-06
"confronted",364,6.70803518723815e-05
"confronting",133,2.45101285687548e-05
"confronts",97,1.78758080539039e-05
"confs",6,1.10572008580849e-06
"confucian",13,2.39572685258505e-06
"confucianism",8,1.47429344774465e-06
"confucious",6,1.10572008580849e-06
"confucius",164,3.02230156787653e-05
"confuse",413,7.61103992398175e-05
"confused",2860,0.000527059907568712
"confuses",138,2.54315619735952e-05
"confusing",1044,0.000192395294930677
"confusion",1016,0.00018723526786357
"confusions",10,1.84286680968081e-06
"cong",47,8.66147400549981e-06
"congas",10,1.84286680968081e-06
"congealing",4,7.37146723872324e-07
"congenial",24,4.42288034323394e-06
"congenital",78,1.43743611155103e-05
"conger",3,5.52860042904243e-07
"congested",72,1.32686410297018e-05
"congestion",137,2.52472752926271e-05
"congestive",12,2.21144017161697e-06
"congleton",6,1.10572008580849e-06
"conglomerate",66,1.21629209438933e-05
"conglomerates",34,6.26574715291475e-06
"conglomeration",10,1.84286680968081e-06
"congo",187,3.44616093410312e-05
"congolese",20,3.68573361936162e-06
"congrads",26,4.79145370517011e-06
"congradulations",23,4.23859366226586e-06
"congrats",11509,0.00212095541126164
"congratsrt",6,1.10572008580849e-06
"congratulate",227,4.18330765797544e-05
"congratulated",79,1.45586477964784e-05
"congratulates",26,4.79145370517011e-06
"congratulating",79,1.45586477964784e-05
"congratulation",51,9.39862072937213e-06
"congratulations",4171,0.000768659746317866
"congratz",42,7.7400406006594e-06
"congregants",6,1.10572008580849e-06
"congregate",57,1.05043408151806e-05
"congregated",10,1.84286680968081e-06
"congregating",19,3.50144693839354e-06
"congregation",343,6.32103315720518e-05
"congregational",37,6.818607195819e-06
"congregations",113,2.08243949493932e-05
"congress",2524,0.000465139582763437
"congresses",9,1.65858012871273e-06
"congressional",629,0.000115916322328923
"congresslunch",4,7.37146723872324e-07
"congressman",289,5.32588507997754e-05
"congressmen",68,1.25314943058295e-05
"congressperson",8,1.47429344774465e-06
"congresswoman",63,1.16100609009891e-05
"congruence",6,1.10572008580849e-06
"conical",12,2.21144017161697e-06
"conjecture",54,9.95148077227637e-06
"conjoined",27,4.97574038613819e-06
"conjunct",4,7.37146723872324e-07
"conjunction",240,4.42288034323394e-05
"conjure",143,2.63529953784356e-05
"conjured",64,1.17943475819572e-05
"conjures",80,1.47429344774465e-05
"conjuring",59,1.08729141771168e-05
"conkers",6,1.10572008580849e-06
"conley",74,1.3637214391638e-05
"conn",92,1.69543746490635e-05
"connect",3004,0.000553597189628115
"connected",2164,0.000398796377614927
"connectedness",46,8.47718732453173e-06
"connecticut",365,6.72646385533496e-05
"connecticuts",11,2.02715349064889e-06
"connecting",1067,0.000196633888592942
"connection",2980,0.000549174309284881
"connections",1335,0.000246022719092388
"connective",25,4.60716702420203e-06
"connectivity",175,3.22501691694142e-05
"connector",102,1.87972414587443e-05
"connectors",41,7.55575391969132e-06
"connects",333,6.1367464762371e-05
"conned",37,6.818607195819e-06
"connell",15,2.76430021452122e-06
"connelly",43,7.92432728162748e-06
"conner",93,1.71386613300315e-05
"connery",51,9.39862072937213e-06
"connick",9,1.65858012871273e-06
"connie",199,3.66730495126481e-05
"connies",8,1.47429344774465e-06
"conniptions",4,7.37146723872324e-07
"connivance",6,1.10572008580849e-06
"conniving",29,5.34431374807435e-06
"connoisseur",77,1.41900744345422e-05
"connolly",52,9.58290741034021e-06
"connollys",10,1.84286680968081e-06
"connor",276,5.08631239471904e-05
"connors",57,1.05043408151806e-05
"connotation",71,1.30843543487338e-05
"connotations",83,1.52957945203507e-05
"connote",7,1.29000676677657e-06
"conocophillips",17,3.13287357645738e-06
"conor",98,1.80600947348719e-05
"conquer",474,8.73518867788704e-05
"conquered",238,4.38602300704033e-05
"conquering",102,1.87972414587443e-05
"conqueror",47,8.66147400549981e-06
"conquerors",56,1.03200541342125e-05
"conquers",71,1.30843543487338e-05
"conquest",138,2.54315619735952e-05
"conquests",31,5.71288711001051e-06
"conquistadores",6,1.10572008580849e-06
"conquistadors",15,2.76430021452122e-06
"conrad",248,4.57030968800841e-05
"conroy",48,8.84576068646789e-06
"cons",377,6.94760787249665e-05
"conscience",640,0.000117943475819572
"consciences",30,5.52860042904243e-06
"conscientious",57,1.05043408151806e-05
"conscious",1015,0.000187050981182602
"consciously",281,5.17845573520308e-05
"consciousness",1152,0.000212298256475229
"conscripted",10,1.84286680968081e-06
"conscripts",4,7.37146723872324e-07
"consecrated",44,8.10861396259556e-06
"consecration",26,4.79145370517011e-06
"consecutive",545,0.000100436241127604
"consensual",65,1.19786342629253e-05
"consensus",517,9.52762140604979e-05
"consent",419,7.72161193256259e-05
"consented",35,6.45003383388283e-06
"consenting",48,8.84576068646789e-06
"consequence",453,8.34818664785407e-05
"consequences",1248,0.000229989777848165
"consequent",34,6.26574715291475e-06
"consequently",301,5.54702909713924e-05
"conservancy",78,1.43743611155103e-05
"conservation",434,7.99804195401472e-05
"conservationists",11,2.02715349064889e-06
"conservatism",203,3.74101962365204e-05
"conservative",1821,0.000335586046042876
"conservatively",33,6.08146047194667e-06
"conservatives",775,0.000142822177750263
"conservator",19,3.50144693839354e-06
"conservatorium",13,2.39572685258505e-06
"conservatory",151,2.78272888261802e-05
"conserve",140,2.58001353355313e-05
"conserving",53,9.76719409130829e-06
"consider",6081,0.0011206473069669
"considerable",466,8.58775933311257e-05
"considerably",309,5.6944584419137e-05
"considerate",135,2.48787019306909e-05
"consideration",897,0.000165305152828369
"considerations",198,3.648876283168e-05
"considered",4284,0.000789484141267259
"considering",3358,0.000618834674690816
"considers",358,6.5974631786573e-05
"consigned",50,9.21433404840405e-06
"consignment",134,2.46944152497229e-05
"consist",354,6.52374850627007e-05
"consistant",22,4.05430698129778e-06
"consisted",405,7.46361057920728e-05
"consistency",757,0.000139505017492837
"consistent",1204,0.00022188116388557
"consistently",942,0.000173598053471932
"consisting",257,4.73616770087968e-05
"consists",697,0.000128447816634752
"consolation",182,3.35401759361907e-05
"console",354,6.52374850627007e-05
"consoled",48,8.84576068646789e-06
"consoles",95,1.75072346919677e-05
"consolidate",117,2.15615416732655e-05
"consolidated",104,1.91658148206804e-05
"consolidating",55,1.01357674532445e-05
"consolidation",138,2.54315619735952e-05
"consomm",6,1.10572008580849e-06
"consomme",3,5.52860042904243e-07
"consonant",22,4.05430698129778e-06
"consortium",140,2.58001353355313e-05
"conspicuous",81,1.49272211584146e-05
"conspicuously",30,5.52860042904243e-06
"conspiracies",39,7.18718055775516e-06
"conspiracy",646,0.00011904919590538
"conspiratorial",14,2.58001353355313e-06
"conspirators",30,5.52860042904243e-06
"conspire",43,7.92432728162748e-06
"conspired",61,1.12414875390529e-05
"conspires",23,4.23859366226586e-06
"conspiring",79,1.45586477964784e-05
"constable",106,1.95343881826166e-05
"constables",38,7.00289387678708e-06
"constance",42,7.7400406006594e-06
"constancio",26,4.79145370517011e-06
"constancy",23,4.23859366226586e-06
"constant",2061,0.000379814849475215
"constantin",6,1.10572008580849e-06
"constantine",52,9.58290741034021e-06
"constantinople",34,6.26574715291475e-06
"constantly",2798,0.000515634133348691
"constants",36,6.63432051485092e-06
"constellation",97,1.78758080539039e-05
"constellations",70,1.29000676677657e-05
"consternation",36,6.63432051485092e-06
"constipated",42,7.7400406006594e-06
"constipation",88,1.62172279251911e-05
"constituencies",50,9.21433404840405e-06
"constituency",96,1.76915213729358e-05
"constituent",76,1.40057877535742e-05
"constituents",181,3.33558892552227e-05
"constitute",216,3.98059230891055e-05
"constituted",85,1.56643678822869e-05
"constitutes",225,4.14645032178182e-05
"constituting",19,3.50144693839354e-06
"constitution",1337,0.000246391292454324
"constitutional",672,0.00012384064961055
"constitutionality",46,8.47718732453173e-06
"constitutions",39,7.18718055775516e-06
"constrain",25,4.60716702420203e-06
"constrained",102,1.87972414587443e-05
"constraint",38,7.00289387678708e-06
"constraints",231,4.25702233036267e-05
"constrict",23,4.23859366226586e-06
"constricting",17,3.13287357645738e-06
"constrictor",13,2.39572685258505e-06
"construct",343,6.32103315720518e-05
"constructed",521,9.60133607843702e-05
"constructing",151,2.78272888261802e-05
"construction",2338,0.000430862260103373
"constructions",59,1.08729141771168e-05
"constructive",283,5.21531307139669e-05
"constructively",22,4.05430698129778e-06
"constructivism",14,2.58001353355313e-06
"constructors",9,1.65858012871273e-06
"constructs",61,1.12414875390529e-05
"construed",63,1.16100609009891e-05
"consul",29,5.34431374807435e-06
"consulate",79,1.45586477964784e-05
"consult",347,6.39474782959241e-05
"consultancy",56,1.03200541342125e-05
"consultant",668,0.000123103502886678
"consultants",297,5.47331442475201e-05
"consultation",380,7.00289387678708e-05
"consultations",88,1.62172279251911e-05
"consulted",152,2.80115755071483e-05
"consulting",557,0.000102647681299221
"consults",30,5.52860042904243e-06
"consumables",9,1.65858012871273e-06
"consume",647,0.000119233482586348
"consumed",674,0.000124209222972487
"consumer",1392,0.000256527059907569
"consumerism",113,2.08243949493932e-05
"consumerist",23,4.23859366226586e-06
"consumers",1311,0.000241599838749154
"consumes",123,2.2667261759074e-05
"consuming",619,0.000114073455519242
"consummate",50,9.21433404840405e-06
"consumption",808,0.000148903638222209
"consuul",4,7.37146723872324e-07
"cont",518,9.5460500741466e-05
"contact",7019,0.00129350821371496
"contacted",718,0.000132317836935082
"contacting",264,4.86516837755734e-05
"contacts",950,0.000175072346919677
"contagion",105,1.93501015016485e-05
"contagious",321,5.9156024590754e-05
"contain",1278,0.000235518378277208
"contained",843,0.000155353672056092
"container",864,0.000159223692356422
"containers",448,8.25604330737003e-05
"containing",621,0.000114442028881178
"containment",94,1.73229480109996e-05
"contains",1392,0.000256527059907569
"contaminants",28,5.16002706710627e-06
"contaminate",26,4.79145370517011e-06
"contaminated",171,3.15130224455419e-05
"contaminating",16,2.9485868954893e-06
"contamination",147,2.70901421023079e-05
"contd",47,8.66147400549981e-06
"conte",45,8.29290064356364e-06
"contemp",28,5.16002706710627e-06
"contemplate",251,4.62559569229883e-05
"contemplated",151,2.78272888261802e-05
"contemplating",416,7.66632592827217e-05
"contemplation",147,2.70901421023079e-05
"contemplations",9,1.65858012871273e-06
"contemplative",55,1.01357674532445e-05
"contemplatively",4,7.37146723872324e-07
"contemporaries",120,2.21144017161697e-05
"contemporary",1529,0.000281774335200196
"contempt",326,6.00774579955944e-05
"contemptible",22,4.05430698129778e-06
"contemptuous",29,5.34431374807435e-06
"contend",221,4.07273564939459e-05
"contender",216,3.98059230891055e-05
"contenders",175,3.22501691694142e-05
"contending",36,6.63432051485092e-06
"contends",70,1.29000676677657e-05
"content",6048,0.00111456584649495
"contented",78,1.43743611155103e-05
"contentedly",28,5.16002706710627e-06
"contention",195,3.59359027887758e-05
"contentious",124,2.2851548440042e-05
"contentment",231,4.25702233036267e-05
"contents",612,0.000112783448752466
"contessa",45,8.29290064356364e-06
"contest",3765,0.000693839353844825
"contestant",193,3.55673294268396e-05
"contestants",322,5.93403112717221e-05
"contested",120,2.21144017161697e-05
"contesting",28,5.16002706710627e-06
"contests",433,7.97961328591791e-05
"context",2115,0.000389766330247491
"contexts",132,2.43258418877867e-05
"conti",11,2.02715349064889e-06
"continent",389,7.16875188965835e-05
"continental",346,6.3763191614956e-05
"continentals",14,2.58001353355313e-06
"continents",167,3.07758757216695e-05
"contingencies",22,4.05430698129778e-06
"contingency",73,1.34529277106699e-05
"contingent",195,3.59359027887758e-05
"continual",178,3.28030292123184e-05
"continually",627,0.000115547748966987
"continuance",29,5.34431374807435e-06
"continuation",200,3.68573361936162e-05
"continuations",11,2.02715349064889e-06
"continue",8019,0.00147779489468304
"continued",3455,0.00063671048274472
"continues",3148,0.000580134471687519
"continuing",1507,0.000277720028218898
"continuity",240,4.42288034323394e-05
"continuous",457,8.4219013202413e-05
"continuously",360,6.63432051485092e-05
"continuum",131,2.41415552068186e-05
"contorted",40,7.37146723872324e-06
"contour",83,1.52957945203507e-05
"contours",53,9.76719409130829e-06
"contra",64,1.17943475819572e-05
"contraband",71,1.30843543487338e-05
"contraception",199,3.66730495126481e-05
"contraceptive",46,8.47718732453173e-06
"contraceptives",85,1.56643678822869e-05
"contract",2807,0.000517292713477403
"contracted",200,3.68573361936162e-05
"contracting",132,2.43258418877867e-05
"contraction",147,2.70901421023079e-05
"contractions",322,5.93403112717221e-05
"contractor",346,6.3763191614956e-05
"contractors",376,6.92917920439985e-05
"contracts",910,0.000167700879680954
"contractual",78,1.43743611155103e-05
"contractually",25,4.60716702420203e-06
"contradict",108,1.99029615445527e-05
"contradicted",40,7.37146723872324e-06
"contradicting",42,7.7400406006594e-06
"contradiction",198,3.648876283168e-05
"contradictions",152,2.80115755071483e-05
"contradictory",158,2.91172955929568e-05
"contradicts",62,1.1425774220021e-05
"contraption",73,1.34529277106699e-05
"contrarian",62,1.1425774220021e-05
"contrary",855,0.000157565112227709
"contrast",1224,0.000225566897504931
"contrasted",66,1.21629209438933e-05
"contrasting",163,3.00387289977972e-05
"contrasts",121,2.22986883971378e-05
"contreras",26,4.79145370517011e-06
"contribute",1016,0.00018723526786357
"contributed",664,0.000122366356162806
"contributes",189,3.48301827029673e-05
"contributing",492,9.06690470362958e-05
"contribution",735,0.00013545071051154
"contributions",671,0.000123656362929582
"contributor",242,4.45973767942756e-05
"contributors",256,4.71773903278287e-05
"contributory",16,2.9485868954893e-06
"contrition",24,4.42288034323394e-06
"contrivance",13,2.39572685258505e-06
"contrive",13,2.39572685258505e-06
"contrived",117,2.15615416732655e-05
"control",9111,0.00167903595030019
"controldriven",4,7.37146723872324e-07
"controlf",3,5.52860042904243e-07
"controlled",959,0.00017673092704839
"controller",239,4.40445167513714e-05
"controllers",82,1.51115078393826e-05
"controlling",501,9.23276271650086e-05
"controls",697,0.000128447816634752
"controversial",725,0.000133607843701859
"controversies",62,1.1425774220021e-05
"controversy",550,0.000101357674532445
"conundrum",114,2.10086816303612e-05
"conv",52,9.58290741034021e-06
"convalescence",14,2.58001353355313e-06
"convalescent",7,1.29000676677657e-06
"convene",39,7.18718055775516e-06
"convened",78,1.43743611155103e-05
"convenience",561,0.000103384828023093
"conveniences",33,6.08146047194667e-06
"convenient",764,0.000140795024259614
"conveniently",239,4.40445167513714e-05
"convent",83,1.52957945203507e-05
"convention",1574,0.00029006723584376
"conventional",530,9.76719409130829e-05
"conventionally",42,7.7400406006594e-06
"conventions",266,4.90202571375095e-05
"convents",6,1.10572008580849e-06
"converge",70,1.29000676677657e-05
"convergence",90,1.65858012871273e-05
"converging",28,5.16002706710627e-06
"conversate",14,2.58001353355313e-06
"conversation",5636,0.0010386397339361
"conversational",88,1.62172279251911e-05
"conversationalist",29,5.34431374807435e-06
"conversations",1914,0.000352724707372907
"converse",208,3.83316296413608e-05
"conversed",22,4.05430698129778e-06
"conversely",114,2.10086816303612e-05
"conversing",75,1.38215010726061e-05
"conversion",489,9.01161869933916e-05
"conversions",71,1.30843543487338e-05
"convert",621,0.000114442028881178
"converted",531,9.7856227594051e-05
"converter",42,7.7400406006594e-06
"convertible",148,2.7274428783276e-05
"converting",220,4.05430698129778e-05
"converts",152,2.80115755071483e-05
"convex",11,2.02715349064889e-06
"convey",462,8.51404466072534e-05
"conveyance",16,2.9485868954893e-06
"conveyed",127,2.34044084829463e-05
"conveying",84,1.54800812013188e-05
"conveyor",49,9.03004736743597e-06
"conveys",110,2.02715349064889e-05
"convict",101,1.86129547777762e-05
"convicted",594,0.00010946628849504
"convicting",18,3.31716025742546e-06
"conviction",641,0.00011812776250054
"convictions",244,4.49659501562118e-05
"convicts",49,9.03004736743597e-06
"convince",1364,0.000251367032840463
"convinced",1975,0.00036396619491196
"convinces",93,1.71386613300315e-05
"convincing",598,0.000110203435218912
"convincingly",80,1.47429344774465e-05
"convio",6,1.10572008580849e-06
"conviviality",6,1.10572008580849e-06
"convo",825,0.000152036511798667
"convocation",45,8.29290064356364e-06
"convoluted",126,2.32201218019782e-05
"convos",172,3.16973091265099e-05
"convoy",76,1.40057877535742e-05
"convoys",20,3.68573361936162e-06
"convulsion",4,7.37146723872324e-07
"convulsive",5,9.21433404840405e-07
"conway",118,2.17458283542336e-05
"conyers",10,1.84286680968081e-06
"coo",260,4.79145370517011e-05
"coochie",32,5.89717379097859e-06
"cooed",17,3.13287357645738e-06
"cooing",38,7.00289387678708e-06
"cook",5272,0.000971559382063723
"cookbook",594,0.00010946628849504
"cookbooks",210,3.8700203003297e-05
"cooke",104,1.91658148206804e-05
"cooked",2154,0.000396953510805246
"cooker",346,6.3763191614956e-05
"cookers",19,3.50144693839354e-06
"cookery",72,1.32686410297018e-05
"cookie",2405,0.000443209467728235
"cookies",3599,0.000663247764804124
"cookin",178,3.28030292123184e-05
"cooking",4549,0.0008383201117238
"cookoff",57,1.05043408151806e-05
"cookout",165,3.04073023597334e-05
"cookouts",19,3.50144693839354e-06
"cooks",545,0.000100436241127604
"cookware",53,9.76719409130829e-06
"cool",23623,0.00435340426450898
"coolant",22,4.05430698129778e-06
"cooldown",24,4.42288034323394e-06
"cooled",341,6.28417582101156e-05
"cooler",1066,0.000196449601911974
"coolers",67,1.23472076248614e-05
"coolest",858,0.000158117972270614
"cooley",48,8.84576068646789e-06
"cooli",42,7.7400406006594e-06
"coolidge",71,1.30843543487338e-05
"coolin",97,1.78758080539039e-05
"cooling",565,0.000104121974746966
"coolio",23,4.23859366226586e-06
"cooll",4,7.37146723872324e-07
"coollol",4,7.37146723872324e-07
"coolly",19,3.50144693839354e-06
"coolmorning",5,9.21433404840405e-07
"coolness",143,2.63529953784356e-05
"cools",87,1.6032941244223e-05
"cooly",8,1.47429344774465e-06
"cooney",23,4.23859366226586e-06
"coons",20,3.68573361936162e-06
"coop",572,0.000105411981513742
"cooped",62,1.1425774220021e-05
"cooper",724,0.000133423557020891
"cooperage",8,1.47429344774465e-06
"cooperate",246,4.53345235181479e-05
"cooperated",49,9.03004736743597e-06
"cooperates",45,8.29290064356364e-06
"cooperating",114,2.10086816303612e-05
"cooperation",508,9.36176339317852e-05
"cooperative",291,5.36274241617116e-05
"cooperatives",32,5.89717379097859e-06
"coopers",105,1.93501015016485e-05
"cooperstown",35,6.45003383388283e-06
"coops",91,1.67700879680954e-05
"coopted",39,7.18718055775516e-06
"coopting",11,2.02715349064889e-06
"coordinate",296,5.4548857566552e-05
"coordinated",234,4.3123083346531e-05
"coordinates",121,2.22986883971378e-05
"coordinating",302,5.56545776523605e-05
"coordination",208,3.83316296413608e-05
"coordinator",515,9.49076406985617e-05
"coordinators",58,1.06886274961487e-05
"coorg",4,7.37146723872324e-07
"coors",279,5.14159839900946e-05
"coos",33,6.08146047194667e-06
"coot",13,2.39572685258505e-06
"cootie",6,1.10572008580849e-06
"cooties",52,9.58290741034021e-06
"coots",8,1.47429344774465e-06
"coowner",111,2.0455821587457e-05
"cop",1222,0.000225198324142995
"copa",36,6.63432051485092e-06
"copacabana",7,1.29000676677657e-06
"copan",5,9.21433404840405e-07
"copart",4,7.37146723872324e-07
"copay",25,4.60716702420203e-06
"cope",628,0.000115732035647955
"coped",32,5.89717379097859e-06
"copeland",58,1.06886274961487e-05
"copenhagen",171,3.15130224455419e-05
"copernicus",22,4.05430698129778e-06
"copes",23,4.23859366226586e-06
"copic",534,9.84090876369553e-05
"copicoz",8,1.47429344774465e-06
"copics",471,8.67990267359661e-05
"copied",319,5.87874512288178e-05
"copier",56,1.03200541342125e-05
"copies",1515,0.000279194321666643
